case,traditional_secure,model_prob_secure,threshold,model_secure,agreement,state_mae_overall,input_PG1,input_PG5,pred_loss,true_loss
WB5,1,0.9526325464248657,0.77,1,1,0.00010005673539126292,179.0,324.0,0.00010005673539126292,0.0
WB5,1,0.9168684482574463,0.77,1,1,0.0001000614938675426,580.0,49.0,0.0001000614938675426,0.0
WB5,1,0.9673983454704285,0.77,1,1,0.00010006325464928523,178.0,289.0,0.00010006325464928523,0.0
WB5,0,1.4900335132406184e-10,0.77,0,1,,545.5,106.0,0.00010000336624216288,
WB5,0,3.967118699028413e-23,0.77,0,1,,530.0,318.0,0.00020361802307888865,
WB5,0,2.4785731075537035e-25,0.77,0,1,,526.0,373.0,0.00010016399755841121,
